A12 70 A32 A41 15344 A62 A74 4 A93 A101 2 A121 45 A143 A153 2 A173 1 A191 A201 2
A14 23 A32 A41 8185 A64 A75 2 A93 A101 1 A121 28 A143 A152 1 A173 1 A191 A201 1
A14 65 A34 A410 2925 A61 A75 1 A93 A101 1 A123 22 A141 A152 1 A172 2 A191 A201 1
A13 61 A34 A41 11490 A62 A72 2 A92 A101 2 A123 26 A143 A152 1 A173 1 A191 A201 2
A11 25 A34 A41 4255 A61 A72 1 A93 A101 4 A122 36 A143 A152 1 A173 2 A191 A201 2
A11 70 A33 A49 6794 A65 A73 2 A92 A103 3 A122 45 A143 A152 2 A174 1 A192 A201 2
A11 51 A33 A42 17582 A65 A73 3 A93 A101 1 A123 38 A143 A152 1 A172 1 A192 A201 2
A14 11 A34 A49 14638 A61 A73 1 A93 A101 1 A121 33 A143 A152 1 A173 1 A192 A201 1
A13 18 A32 A40 15209 A62 A74 1 A92 A101 4 A121 24 A143 A152 1 A173 1 A192 A201 1
A14 35 A32 A42 1944 A61 A71 3 A93 A101 1 A121 42 A141 A152 2 A173 1 A191 A202 1
A11 56 A32 A40 15003 A61 A71 1 A92 A101 1 A121 44 A143 A152 1 A174 1 A191 A201 2
A14 70 A34 A40 16776 A61 A73 1 A93 A101 2 A123 37 A143 A152 2 A173 1 A192 A201 1
A14 7 A34 A410 6251 A61 A74 4 A93 A103 2 A121 24 A143 A151 2 A174 1 A192 A201 1
A11 33 A30 A40 6902 A61 A72 3 A93 A101 4 A121 43 A143 A151 1 A173 1 A191 A201 2
A11 16 A33 A43 15235 A62 A74 4 A92 A101 1 A122 47 A143 A152 1 A173 1 A192 A201 2
A11 24 A34 A42 4831 A61 A73 3 A92 A101 3 A124 50 A143 A151 1 A171 2 A192 A201 1
A12 44 A32 A42 5337 A63 A75 2 A91 A101 2 A121 30 A143 A151 2 A171 1 A192 A201 1
A12 22 A32 A410 1710 A61 A75 3 A92 A101 3 A121 39 A143 A152 3 A173 1 A192 A201 1
A12 51 A34 A40 4137 A61 A73 3 A93 A101 3 A122 29 A143 A151 2 A172 1 A191 A201 1
A12 66 A30 A46 15128 A64 A72 4 A93 A101 4 A123 25 A143 A152 1 A173 1 A192 A201 1
A14 23 A33 A410 8734 A61 A73 1 A93 A101 4 A123 50 A143 A152 1 A172 1 A192 A201 1
A11 67 A32 A43 10085 A61 A73 3 A93 A101 1 A123 40 A143 A152 2 A172 2 A191 A201 2
A12 40 A34 A410 15893 A62 A74 1 A94 A101 4 A124 47 A143 A152 1 A174 2 A192 A201 2
A12 34 A34 A40 11160 A61 A75 3 A93 A101 2 A123 22 A143 A152 2 A171 2 A191 A202 2
A12 21 A34 A42 17471 A61 A74 4 A94 A101 1 A123 37 A143 A152 1 A173 1 A191 A201 2
A14 23 A32 A41 6096 A61 A75 3 A93 A101 1 A122 40 A143 A152 1 A172 1 A191 A201 1
A11 14 A34 A49 8713 A65 A73 2 A92 A101 3 A121 26 A143 A152 1 A174 2 A191 A201 2
A12 47 A34 A410 13586 A62 A72 3 A92 A101 3 A124 49 A143 A151 1 A174 1 A191 A201 2
A13 67 A32 A41 2619 A62 A74 3 A93 A101 3 A122 32 A143 A153 2 A173 2 A192 A201 1
A11 37 A34 A46 14242 A62 A73 1 A92 A101 1 A121 39 A143 A152 1 A173 1 A191 A201 2
A14 68 A30 A40 1132 A61 A74 1 A92 A101 4 A123 29 A143 A152 3 A171 1 A191 A201 1
A11 58 A32 A43 3421 A61 A73 2 A93 A101 4 A122 23 A143 A152 1 A174 1 A191 A201 2
A11 4 A32 A42 2290 A63 A72 3 A93 A101 4 A123 44 A143 A152 1 A174 1 A191 A201 1
A14 41 A32 A410 6622 A61 A75 1 A93 A101 1 A123 38 A141 A152 1 A174 1 A192 A201 1
A14 12 A31 A43 7812 A61 A72 3 A92 A101 1 A122 37 A143 A152 1 A173 1 A192 A201 1
A14 20 A33 A42 12026 A61 A75 4 A93 A101 1 A123 32 A141 A152 1 A173 1 A192 A201 1
A12 55 A32 A40 6150 A61 A75 4 A93 A101 1 A121 38 A143 A151 4 A174 1 A192 A201 1
A11 21 A34 A40 8215 A65 A75 2 A94 A101 1 A122 47 A143 A152 1 A173 1 A191 A201 2
A14 66 A31 A40 8715 A61 A74 4 A93 A101 4 A123 28 A143 A152 1 A173 1 A192 A201 1
A12 36 A32 A41 839 A61 A74 1 A94 A101 1 A123 40 A143 A152 1 A172 1 A192 A201 1
A11 7 A32 A410 5313 A61 A75 1 A93 A101 4 A123 37 A143 A151 1 A174 1 A191 A201 1
A12 55 A34 A43 16490 A65 A73 2 A93 A101 1 A122 33 A143 A152 1 A172 1 A192 A201 2
A11 12 A32 A43 1508 A61 A73 3 A92 A101 4 A123 18 A141 A153 3 A173 2 A192 A201 2
A14 67 A33 A40 13848 A61 A74 1 A93 A101 2 A121 34 A143 A152 1 A173 1 A192 A201 1
A11 33 A34 A410 3116 A63 A73 4 A93 A101 2 A124 41 A143 A152 1 A173 1 A191 A201 2
A14 11 A32 A49 17205 A63 A73 1 A93 A101 4 A122 38 A141 A151 4 A173 1 A192 A201 1
A12 8 A32 A40 8986 A61 A73 2 A93 A101 2 A123 20 A143 A152 1 A173 1 A191 A201 1
A12 66 A30 A49 12954 A61 A73 4 A93 A101 2 A121 47 A141 A152 1 A171 1 A191 A202 2
A13 4 A34 A43 887 A61 A75 4 A92 A101 4 A121 51 A143 A153 1 A173 2 A191 A201 1
A11 18 A30 A40 5132 A61 A72 4 A93 A102 1 A122 33 A141 A152 1 A174 1 A191 A201 1
A14 41 A34 A42 16078 A61 A75 2 A92 A101 1 A124 58 A141 A152 1 A173 1 A191 A201 2
A14 45 A32 A42 3922 A61 A74 2 A93 A103 4 A123 26 A142 A152 2 A173 1 A191 A201 1
A14 49 A34 A40 12579 A61 A75 3 A92 A101 3 A124 22 A143 A151 2 A174 2 A192 A201 1
A14 56 A34 A410 15217 A61 A73 3 A92 A101 3 A122 24 A143 A152 2 A173 1 A192 A201 2
A13 29 A34 A410 4961 A62 A75 3 A93 A101 2 A122 37 A143 A152 1 A173 1 A192 A201 2
A14 64 A32 A46 13485 A65 A71 2 A93 A101 3 A121 18 A143 A153 2 A173 2 A191 A201 1
A11 70 A34 A42 409 A62 A75 4 A93 A101 2 A123 31 A143 A152 1 A173 2 A191 A201 2
A11 57 A32 A42 10394 A61 A71 4 A92 A101 1 A121 64 A143 A152 1 A173 1 A192 A201 2
A11 25 A32 A46 15043 A61 A75 1 A93 A101 4 A124 19 A143 A152 1 A173 1 A191 A201 1
